id,Food,Points,quantity,measure
138,Scallops,0,1,serving
139,Sea bass,0,1,serving
140,Sea cucumber,0,1,serving
141,Sea urchin,0,1,serving
142,Shallots,0,1,serving
143,Shrimp,0,1,serving
144,Skinless chicken breast,0,1,serving
145,Skinless turkey breast,0,1,serving
146,Smoked haddock,0,1,serving
147,Smoked mackerel,0,1,serving
148,Smoked salmon,0,1,serving
149,Smoked sturgeon,0,1,serving
150,Smoked trout,0,1,serving
151,Smoked whitefish,0,1,serving
152,Snails,0,1,serving
153,Snapper,0,1,serving
154,Sole,0,1,serving
155,Soya beans,0,1,serving
156,"Soya yogurt, plain",0,1,serving
157,Spaghetti squash,0,1,serving
158,Spinach,0,1,serving
159,Spring onions,0,1,serving
160,Squid,0,1,serving
161,Star fruit,0,1,serving
162,Strawberries,0,1,serving
163,Sturgeon,0,1,serving
164,Succotash,0,1,serving
165,Sweetcorn,0,1,serving
166,Swiss chard,0,1,serving
167,Swordfish,0,1,serving
168,Tangerines,0,1,serving
169,Tarragon,0,1,serving
170,"Tempeh, plain, all types",0,1,serving
171,Thyme,0,1,serving
172,Tilapia,0,1,serving
173,"Tofu, plain, all types",0,1,serving
174,Tomatoes,0,1,serving
175,Trout,0,1,serving
176,Tuna,0,1,serving
177,Turbot,0,1,serving
178,Turkey breast mince,0,1,serving
179,Turnips,0,1,serving
180,Water chestnuts,0,1,serving
181,White fish,0,1,serving
